ax,ay,az,omega_x,omega_y,omega_z
0.20668,0.25513,9.6278,0.0002,-0.0021,-0.004
0.21924,0.23779,9.6556,0.0019,-0.0029,-0.0063
0.20578,0.24616,9.6416,-0.0002,-0.0016,-0.0034
0.21027,0.23539,9.6515,-0.0008,-0.0045,-0.0042
0.19531,0.24855,9.6476,-0.0018,-0.0033,-0.0016
0.22014,0.25035,9.655,0.0005,-0.0043,-0.0034
0.22283,0.2656,9.6562,-0.0019,-0.0033,-0.0029
0.22403,0.26052,9.6398,-0.0003,-0.004,-0.0037
0.21864,0.27338,9.6389,-0.0018,-0.0047,-0.0042
0.21356,0.2662,9.6509,-0.0009,-0.004,-0.0033
0.22283,0.2342,9.6395,-0.0011,-0.0007,-0.0046
0.20758,0.23719,9.641,0.0002,-0.0029,-0.0054
0.21864,0.25902,9.6236,-0.0031,-0.0044,-0.0056
0.20638,0.22732,9.6129,-0.0025,-0.0027,-0.0039
0.20818,0.25962,9.6392,-0.0025,-0.0053,-0.0049
0.22433,0.25603,9.609,-0.0014,-0.0052,-0.0045
0.21625,0.26022,9.6517,0.0003,-0.0055,-0.0039
0.19801,0.25663,9.6491,0.0005,-0.004,-0.0041
0.22014,0.25543,9.6592,-0.0004,-0.0023,-0.0048
0.2013,0.24227,9.6407,-0.0005,-0.0024,-0.0049
0.22373,0.24078,9.6512,-0.0018,-0.0034,-0.0047
0.20459,0.24646,9.6461,-0.0001,-0.0044,-0.0065
0.21476,0.24945,9.6404,0.0026,-0.0031,-0.0039
0.2342,0.26052,9.6326,-0,-0.004,-0.006
0.21206,0.2674,9.6482,-0.0003,-0.0029,-0.006
0.2004,0.27009,9.6326,-0.0002,-0.0032,-0.0032
0.20459,0.26022,9.6269,0.0012,-0.004,-0.004
0.22193,0.25753,9.6215,-0.0002,-0.004,-0.0023
0.2013,0.24497,9.6494,0.0005,-0.0043,-0.0042
0.20489,0.26291,9.6482,-0.0014,-0.0025,-0.0036
0.20578,0.25454,9.6401,-0.0015,-0.0034,-0.0058
0.20608,0.25095,9.6323,-0.0006,-0.0044,-0.0021
0.21416,0.25872,9.6431,0.001,-0.0042,-0.0023
0.21805,0.25155,9.6431,0.001,-0.0029,-0.0045
0.20997,0.24287,9.6592,-0.0006,-0.0031,-0.0055
0.1986,0.25842,9.6494,-0,-0.0045,-0.0052
0.20309,0.25155,9.6455,0.0004,-0.0044,-0.0033
0.22074,0.26351,9.6482,-0.0018,-0.0021,-0.0055
0.21625,0.24287,9.6485,0.0008,-0.0032,-0.0059
0.2001,0.25693,9.6374,0.0009,-0.0049,-0.0053
0.20339,0.25813,9.6284,0,-0.0043,-0.0057
0.22881,0.26231,9.644,-0.0006,-0.0041,-0.0039
0.22552,0.25633,9.638,-0.0008,-0.0031,-0.0044
